Cell ID	Short name	Plate	Condition
III_F11_S71_R1_001	III_F11	III	OD 2.0
III_F12_S72_R1_001	III_F12	III	OD 2.0
III_G10_S82_R1_001	III_G10	III	OD 2.0
III_G11_S83_R1_001	III_G11	III	OD 2.0
III_G12_S84_R1_001	III_G12	III	OD 2.0
III_H10_S94_R1_001	III_H10	III	OD 2.0
III_H11_S95_R1_001	III_H11	III	OD 2.0
III_H12_S96_R1_001	III_H12	III	OD 2.0
IV_A7_S103_R1_001	IV_A7	IV	OD 2.0
IV_A8_S104_R1_001	IV_A8	IV	OD 2.0
IV_A9_S105_R1_001	IV_A9	IV	OD 2.0
IV_B7_S115_R1_001	IV_B7	IV	OD 2.0
IV_B8_S116_R1_001	IV_B8	IV	OD 2.0
IV_B9_S117_R1_001	IV_B9	IV	OD 2.0
IV_C7_S127_R1_001	IV_C7	IV	OD 2.0
IV_C8_S128_R1_001	IV_C8	IV	OD 2.0
IV_C9_S129_R1_001	IV_C9	IV	OD 2.0
IV_D7_S139_R1_001	IV_D7	IV	OD 2.0
IV_D8_S140_R1_001	IV_D8	IV	OD 2.0
IV_D9_S141_R1_001	IV_D9	IV	OD 2.0
IV_E7_S151_R1_001	IV_E7	IV	OD 2.0
IV_E8_S152_R1_001	IV_E8	IV	OD 2.0
IV_E9_S153_R1_001	IV_E9	IV	OD 2.0
IV_F7_S163_R1_001	IV_F7	IV	OD 2.0
IV_F8_S164_R1_001	IV_F8	IV	OD 2.0
IV_F9_S165_R1_001	IV_F9	IV	OD 2.0
IV_G7_S175_R1_001	IV_G7	IV	OD 2.0
IV_G8_S176_R1_001	IV_G8	IV	OD 2.0
IV_G9_S177_R1_001	IV_G9	IV	OD 2.0
IV_H7_S187_R1_001	IV_H7	IV	OD 2.0
IV_H8_S188_R1_001	IV_H8	IV	OD 2.0
IV_H9_S189_R1_001	IV_H9	IV	OD 2.0
I_A7_S199_R1_001	I_A7	I	OD 0.1
I_A8_S200_R1_001	I_A8	I	OD 0.1
I_A9_S201_R1_001	I_A9	I	OD 0.1
I_B7_S211_R1_001	I_B7	I	OD 0.1
I_B8_S212_R1_001	I_B8	I	OD 0.1
I_B9_S213_R1_001	I_B9	I	OD 0.1
I_C7_S223_R1_001	I_C7	I	OD 0.1
I_C8_S224_R1_001	I_C8	I	OD 0.1
I_C9_S225_R1_001	I_C9	I	OD 0.1
I_D7_S235_R1_001	I_D7	I	OD 0.1
I_D8_S236_R1_001	I_D8	I	OD 0.1
I_D9_S237_R1_001	I_D9	I	OD 0.1
I_E7_S247_R1_001	I_E7	I	OD 0.1
I_E8_S248_R1_001	I_E8	I	OD 0.1
I_E9_S249_R1_001	I_E9	I	OD 0.1
I_F7_S259_R1_001	I_F7	I	OD 0.1
I_F8_S260_R1_001	I_F8	I	OD 0.1
I_F9_S261_R1_001	I_F9	I	OD 0.1
I_G7_S271_R1_001	I_G7	I	OD 0.1
I_G8_S272_R1_001	I_G8	I	OD 0.1
I_G9_S273_R1_001	I_G9	I	OD 0.1
I_H7_S283_R1_001	I_H7	I	OD 0.1
I_H8_S284_R1_001	I_H8	I	OD 0.1
I_H9_S285_R1_001	I_H9	I	OD 0.1
II_A4_S292_R1_001	II_A4	II	OD 0.1
II_A5_S293_R1_001	II_A5	II	OD 0.1
II_A6_S294_R1_001	II_A6	II	OD 0.1
II_B4_S304_R1_001	II_B4	II	OD 0.1
II_B5_S305_R1_001	II_B5	II	OD 0.1
II_B6_S306_R1_001	II_B6	II	OD 0.1
II_C4_S316_R1_001	II_C4	II	OD 0.1
II_C5_S317_R1_001	II_C5	II	OD 0.1
II_C6_S318_R1_001	II_C6	II	OD 0.1
II_D4_S328_R1_001	II_D4	II	OD 0.1
II_D5_S329_R1_001	II_D5	II	OD 0.1
